"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
01M015,P.S. 015 Roberto Clemente,Elementary,EMS,Irene Sanchez,Carry Chan,1,75M094,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,K: Choice District,0,,,1,Good Standing,01,MFSC
01M019,P.S. 019 Asher Levy,Elementary,EMS,Jacqueline Flanagan,Carry Chan,1,01M301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M020,P.S. 020 Anna Silver,Elementary,EMS,Sarah Pinto Viagran,Carry Chan,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M034,P.S. 034 Franklin D. Roosevelt,K-8,EMS,Angeliki Loukatos,Carry Chan,0,,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"K: Choice District, MS: Limited Unscreened",0,,,,Good Standing,01,MFSC
01M063,The STAR Academy - P.S.63,Elementary,EMS,Darlene Cameron,Carry Chan,1,01M363,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M064,P.S. 064 Robert Simon,Elementary,EMS,Marlon L. Hosang,Carry Chan,1,"01M364, 01M839",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M110,P.S. 110 Florence Nightingale,Elementary,EMS,Karen Feuer,Carry Chan,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M134,P.S. 134 Henrietta Szold,Elementary,EMS,Daniel Kim,Carry Chan,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M140,P.S. 140 Nathan Straus,K-8,EMS,Melissa Rodriguez,Carry Chan,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K: Choice District, MS: Screened",0,,,,Good Standing,01,MFSC
01M142,P.S. 142 Amalia Castro,Elementary,EMS,Daphna Gutman,Carry Chan,1,84M320,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,K: Choice District,0,,,,Good Standing,01,MFSC
01M184,P.S. 184m Shuang Wen,K-8,EMS,Iris Chiu,Carry Chan,0,,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"K: Choice District, MS: Screened: Language",0,,,,Good Standing,01,MFSC
01M188,P.S. 188 The Island School,K-8,EMS,Suany Ramos,Carry Chan,1,"75M094, 84M330",1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,"K: Choice District, MS: Screened",0,,,,Good Standing,01,MFSC
